 Time: 1425.79946, num_raw: 24000, num_filted: 24000
 Time: 1425.89931, num_raw: 24000, num_filted: 24000
 Time: 1425.99997, num_raw: 24000, num_filted: 24000
 Time: 1426.09983, num_raw: 24000, num_filted: 24000
 Time: 1426.19977, num_raw: 24000, num_filted: 24000
 Time: 1426.29963, num_raw: 24000, num_filted: 24000
 Time: 1426.39948, num_raw: 24000, num_filted: 24000
 Time: 1426.49939, num_raw: 24000, num_filted: 24000
 Time: 1426.59930, num_raw: 24000, num_filted: 24000
 Time: 1426.69994, num_raw: 24000, num_filted: 24000
 Time: 1426.79978, num_raw: 24000, num_filted: 24000
 Time: 1426.89965, num_raw: 24000, num_filted: 24000
 Time: 1426.99964, num_raw: 24000, num_filted: 24000
 Time: 1427.09956, num_raw: 24000, num_filted: 24000
 Time: 1427.19948, num_raw: 24000, num_filted: 24000
 Time: 1427.29930, num_raw: 24000, num_filted: 24000
 Time: 1427.39964, num_raw: 24000, num_filted: 24000
 Time: 1427.49952, num_raw: 24000, num_filted: 24000
 Time: 1427.59941, num_raw: 24000, num_filted: 24000
 Time: 1427.69936, num_raw: 24000, num_filted: 24000
 Time: 1427.79932, num_raw: 24000, num_filted: 24000
 Time: 1427.89996, num_raw: 24000, num_filted: 24000
 Time: 1427.99982, num_raw: 24000, num_filted: 24000
 Time: 1428.09969, num_raw: 24000, num_filted: 24000
 Time: 1428.19960, num_raw: 24000, num_filted: 24000
 Time: 1428.29954, num_raw: 24000, num_filted: 24000
 Time: 1428.39946, num_raw: 24000, num_filted: 24000
 Time: 1428.49933, num_raw: 24000, num_filted: 24000
 Time: 1428.59999, num_raw: 24000, num_filted: 24000
 Time: 1428.69988, num_raw: 24000, num_filted: 24000
 Time: 1428.79976, num_raw: 24000, num_filted: 24000
 Time: 1428.89961, num_raw: 24000, num_filted: 24000
 Time: 1428.99955, num_raw: 24000, num_filted: 24000
 Time: 1429.09944, num_raw: 24000, num_filted: 24000
 Time: 1429.19932, num_raw: 24000, num_filted: 24000
 Time: 1429.29961, num_raw: 24000, num_filted: 24000
 Time: 1429.39952, num_raw: 24000, num_filted: 24000
